oid,RAW_REFERENCE_KEY,Sign,ABSOLUTE_ODOMETER_m,US_WELD_NUMBER,US_WELD_DISTANCE_m,DS_WELD_DISTANCE_m,US_AGM_REFERENCE,US_AGM_DISTANCE_m,DS_AGM_REFERENCE,DS_AGM_DISTANCE_m,PARENT_CLUSTER,MAX_DEPTH_PCT,FEATURE_LENGTH_mm,FEATURE_WIDTH_mm,ORIENTATION_deg,SEAM_ORIENTATION_deg,FEATURE_TYPE,CURRENT_INDICATOR_LF,INT_EXT,WALL_THICKNESS_mm,SMYS_kPa,Year of Exceedance,085dL_RPR,RPR1.25,085dL_Burst_Pressure_kPa,MAOP_kPa,Type of Failure,COMMENTS
1,GWD 10,GWD,-0.546,GWD 10,0,0.621,,,VLV 1,1.164,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
2,TEE 1,TEE,-0.172,GWD 10,0.374,0.247,,,VLV 1,0.79,,0,0,0,7.5,0,Tee,Y,,12.7,386000,,0,,0,0,,
3,GWD 20,GWD,0.075,GWD 20,0,0.161,,,VLV 1,0.543,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
4,GWD 30,GWD,0.236,GWD 30,0,0.187,,,VLV 1,0.382,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
5,GWD 40,GWD,0.423,GWD 40,0,0.602,,,VLV 1,0.195,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
6,VLV 1,VLV,0.618,GWD 40,0.195,0.407,,,VLV 2,1.584,,0,0,0,0,0,Valve,Y,,12.7,386000,,0,,0,0,,
7,GWD 50,GWD,1.025,GWD 50,0,0.137,VLV 1,0.407,VLV 2,1.177,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
8,GWD 60,GWD,1.162,GWD 60,0,0.48,VLV 1,0.544,VLV 2,1.04,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
9,TEE 2,TEE,1.412,GWD 60,0.25,0.23,VLV 1,0.794,VLV 2,0.79,,0,0,0,270,0,Tee,Y,,12.7,386000,,0,,0,0,,
10,GWD 70,GWD,1.642,GWD 70,0,0.083,VLV 1,1.024,VLV 2,0.56,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
11,GWD 80,GWD,1.725,GWD 80,0,0.943,VLV 1,1.107,VLV 2,0.477,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
12,VLV 2,VLV,2.202,GWD 80,0.477,0.466,VLV 1,1.584,VLV 3,0.679,,0,0,0,0,0,Valve,Y,,12.7,386000,,0,,0,0,,
13,GWD 90,GWD,2.668,GWD 90,0,0.394,VLV 2,0.466,VLV 3,0.213,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
14,VLV 3,VLV,2.881,GWD 90,0.213,0.181,VLV 2,0.679,AGM 1,6.268,,0,0,0,0,0,Valve,Y,,12.7,386000,,0,,0,0,,
15,GWD 100,GWD,3.062,GWD 100,0,0.202,VLV 3,0.181,AGM 1,6.087,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
16,GWD 110,GWD,3.264,GWD 110,0,0.192,VLV 3,0.383,AGM 1,5.885,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
17,GWD 120,GWD,3.456,GWD 120,0,4.783,VLV 3,0.575,AGM 1,5.693,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
18,TEE 3,TEE,3.905,GWD 120,0.449,4.334,VLV 3,1.024,AGM 1,5.244,,0,0,0,7.5,0,Tee,Y,,12.7,386000,,0,,0,0,,
19,TEE 4,TEE,4.292,GWD 120,0.836,3.947,VLV 3,1.411,AGM 1,4.857,,0,0,0,7.5,0,Tee,Y,,12.7,386000,,0,,0,0,,
20,BND 1,BND,4.78,GWD 120,1.324,3.459,VLV 3,1.899,AGM 1,4.369,,0,3060.372,0,240,0,Bend,Y,,12.7,386000,,0,,0,0,,
21,GWD 130,GWD,8.239,GWD 130,0,6.217,VLV 3,5.358,AGM 1,0.91,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
22,AGM 1,AGM,9.149,GWD 130,0.91,5.307,VLV 3,6.268,AGM 2,3413.275,,0,0,0,0,0,Above Ground Marker,Y,,12.7,386000,,0,,0,0,,AGM 050 ISO VALVE
23,BND 2,BND,9.945,GWD 130,1.706,4.511,AGM 1,0.796,AGM 2,3412.479,,0,3165.671,0,247.5,0,Bend,Y,,12.7,386000,,0,,0,0,,
24,GWD 140,GWD,14.456,GWD 140,0,0.493,AGM 1,5.307,AGM 2,3407.968,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
25,GWD 150,GWD,14.949,GWD 150,0,0.09,AGM 1,5.8,AGM 2,3407.475,,0,0,0,0,0,Girth Weld,Y,,4.8,414000,,0,,0,0,,
26,GWD 160,GWD,15.039,GWD 160,0,12.115,AGM 1,5.89,AGM 2,3407.385,,0,0,0,0,300,Girth Weld,Y,,4.8,414000,,0,,0,0,,
27,GWD 170,GWD,27.154,GWD 170,0,20.683,AGM 1,18.005,AGM 2,3395.27,,0,0,0,0,75,Girth Weld,Y,,4.8,414000,,0,,0,0,,
28,GWD 180,GWD,47.837,GWD 180,0,20.782,AGM 1,38.688,AGM 2,3374.587,,0,0,0,0,352.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
29,GWD 190,GWD,68.619,GWD 190,0,20.988,AGM 1,59.47,AGM 2,3353.805,,0,0,0,0,45,Girth Weld,Y,,4.8,414000,,0,,0,0,,
30,GWD 200,GWD,89.607,GWD 200,0,8.253,AGM 1,80.458,AGM 2,3332.817,,0,0,0,0,330,Girth Weld,Y,,4.8,414000,,0,,0,0,,
31,GWD 210,GWD,97.86,GWD 210,0,12.62,AGM 1,88.711,AGM 2,3324.564,,0,0,0,0,105,Girth Weld,Y,,4.8,414000,,0,,0,0,,
32,DMA 1,DMA,99.14,GWD 210,1.28,11.34,AGM 1,89.991,AGM 2,3323.284,CLS 1,0.069,11.693,32.942,22.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365317221,16947,9930,,
33,DMA 2,DMA,99.15,GWD 210,1.29,11.33,AGM 1,90.001,AGM 2,3323.274,CLS 1,0.06,13.75,13.466,7.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364833837,16941,9930,,
34,CLS 1,CLS,99.14,GWD 210,1.28,11.34,AGM 1,89.991,AGM 2,3323.284,,0.069,48.311,61.841,15,0,Cluster,Y,E,4.8,414000,,1.144,1.341953676,16657,9930,,
35,DMA 3,DMA,99.157,GWD 210,1.297,11.323,AGM 1,90.008,AGM 2,3323.267,,0.06,14.845,15.286,292.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.163,1.364350453,16935,9930,,
36,DMA 4,DMA,99.175,GWD 210,1.315,11.305,AGM 1,90.026,AGM 2,3323.249,CLS 1,0.06,13.179,24.564,22.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365075529,16944,9930,,
37,DMA 5,DMA,99.178,GWD 210,1.318,11.302,AGM 1,90.029,AGM 2,3323.246,,0.063,10.794,33.138,195,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.365881168,16954,9930,,
38,DMA 6,DMA,99.634,GWD 210,1.774,10.846,AGM 1,90.485,AGM 2,3322.79,CLS 2,0.069,15.114,8,247.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.163,1.363625378,16926,9930,,
39,CLS 2,CLS,99.634,GWD 210,1.774,10.846,AGM 1,90.485,AGM 2,3322.79,,0.071,22.476,25.147,247.5,0,Cluster,Y,E,4.8,414000,,1.159,1.359033233,16869,9930,,
40,DMA 7,DMA,99.644,GWD 210,1.784,10.836,AGM 1,90.495,AGM 2,3322.78,CLS 2,0.071,12.719,22.304,247.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364753273,16940,9930,,
41,DMA 8,DMA,100.381,GWD 210,2.521,10.099,AGM 1,91.232,AGM 2,3322.043,,0.06,14.661,8,330,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364431017,16936,9930,,
42,DMA 9,DMA,100.406,GWD 210,2.546,10.074,AGM 1,91.257,AGM 2,3322.018,,0.06,12.633,14.078,307.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365317221,16947,9930,,
43,DMA 10,DMA,104.007,GWD 210,6.147,6.473,AGM 1,94.858,AGM 2,3318.417,,0.073,12.51,16.719,82.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364753273,16940,9930,,
44,DMA 11,DMA,107.453,GWD 210,9.593,3.027,AGM 1,98.304,AGM 2,3314.971,,0.06,11.334,16.632,217.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.365800604,16953,9930,,
45,GWD 220,GWD,110.48,GWD 220,0,10.839,AGM 1,101.331,AGM 2,3311.944,,0,0,0,0,322.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
46,DMA 12,DMA,115.983,GWD 220,5.503,5.336,AGM 1,106.834,AGM 2,3306.441,,0.084,12.145,50.935,127.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364431017,16936,9930,,
47,DMA 13,DMA,116.079,GWD 220,5.599,5.24,AGM 1,106.93,AGM 2,3306.345,,0.06,12.267,45.083,7.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365478348,16949,9930,,
48,DMA 14,DMA,116.807,GWD 220,6.327,4.512,AGM 1,107.658,AGM 2,3305.617,,0.06,12.655,31.424,142.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365317221,16947,9930,,
49,DMA 15,DMA,117.508,GWD 220,7.028,3.811,AGM 1,108.359,AGM 2,3304.916,CLS 3,0.06,13.299,12.114,105,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364994965,16943,9930,,
50,CLS 3,CLS,117.508,GWD 220,7.028,3.811,AGM 1,108.359,AGM 2,3304.916,,0.06,34.505,32.802,112.5,0,Cluster,Y,E,4.8,414000,,1.154,1.353313192,16798,9930,,
51,DMA 16,DMA,117.53,GWD 220,7.05,3.789,AGM 1,108.381,AGM 2,3304.894,CLS 3,0.06,12.471,15.652,120,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365397784,16948,9930,,
52,DMA 17,DMA,117.881,GWD 220,7.401,3.438,AGM 1,108.732,AGM 2,3304.543,,0.06,24.39,21.513,352.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.159,1.359355488,16873,9930,,
53,DMA 18,DMA,118.2,GWD 220,7.72,3.119,AGM 1,109.051,AGM 2,3304.224,,0.06,17.665,16.64,142.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.162,1.36306143,16919,9930,,
54,DMA 19,DMA,118.263,GWD 220,7.783,3.056,AGM 1,109.114,AGM 2,3304.161,,0.06,12.5,15.822,337.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365317221,16947,9930,,
55,DMA 20,DMA,118.855,GWD 220,8.375,2.464,AGM 1,109.706,AGM 2,3303.569,,0.067,11.669,10.154,0,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365397784,16948,9930,,
56,DMA 21,DMA,119.281,GWD 220,8.801,2.038,AGM 1,110.132,AGM 2,3303.143,,0.068,13.427,13.023,270,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364592145,16938,9930,,
57,DMA 22,DMA,119.833,GWD 220,9.353,1.486,AGM 1,110.684,AGM 2,3302.591,,0.066,11.181,8,0,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.365639476,16951,9930,,
58,DMA 23,DMA,120.813,GWD 220,10.333,0.506,AGM 1,111.664,AGM 2,3301.611,,0.066,11.085,8,0,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.36572004,16952,9930,,
59,GWD 230,GWD,121.319,GWD 230,0,11.665,AGM 1,112.17,AGM 2,3301.105,,0,0,0,0,52.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
60,DMA 24,DMA,121.469,GWD 230,0.15,11.515,AGM 1,112.32,AGM 2,3300.955,,0.06,21.22,18.317,30,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.161,1.361127895,16895,9930,,
61,DMA 25,DMA,121.998,GWD 230,0.679,10.986,AGM 1,112.849,AGM 2,3300.426,CLS 4,0.06,14.271,14.085,300,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364592145,16938,9930,,
62,CLS 4,CLS,121.998,GWD 230,0.679,10.986,AGM 1,112.849,AGM 2,3300.426,,0.089,48.558,41.538,300,0,Cluster,Y,E,4.8,414000,,1.138,1.333897281,16557,9930,,
63,DMA 26,DMA,122.033,GWD 230,0.714,10.951,AGM 1,112.884,AGM 2,3300.391,CLS 4,0.089,13.284,12.227,292.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.163,1.363544814,16925,9930,,
64,DMA 27,DMA,123.067,GWD 230,1.748,9.917,AGM 1,113.918,AGM 2,3299.357,,0.169,13.364,12.148,262.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.159,1.358791541,16866,9930,,
65,DMA 28,DMA,123.076,GWD 230,1.757,9.908,AGM 1,113.927,AGM 2,3299.348,,0.063,13.028,24.524,300,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364994965,16943,9930,,
66,DMA 29,DMA,124.063,GWD 230,2.744,8.921,AGM 1,114.914,AGM 2,3298.361,CLS 5,0.06,13.251,12.83,270,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365075529,16944,9930,,
67,CLS 5,CLS,124.063,GWD 230,2.744,8.921,AGM 1,114.914,AGM 2,3298.361,,0.06,50.671,16.835,270,0,Cluster,Y,E,4.8,414000,,1.146,1.344209466,16685,9930,,
68,DMA 30,DMA,124.099,GWD 230,2.78,8.885,AGM 1,114.95,AGM 2,3298.325,CLS 5,0.06,14.771,10.854,270,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364431017,16936,9930,,
69,DMA 31,DMA,124.881,GWD 230,3.562,8.103,AGM 1,115.732,AGM 2,3297.543,,0.06,12.565,11.906,270,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365317221,16947,9930,,
70,DMA 32,DMA,125.205,GWD 230,3.886,7.779,AGM 1,116.056,AGM 2,3297.219,,0.06,14.012,8.422,270,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364753273,16940,9930,,
71,DMA 33,DMA,125.358,GWD 230,4.039,7.626,AGM 1,116.209,AGM 2,3297.066,CLS 6,0.06,13.767,10.515,307.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364833837,16941,9930,,
72,CLS 6,CLS,125.358,GWD 230,4.039,7.626,AGM 1,116.209,AGM 2,3297.066,,0.06,29.634,25.681,315,0,Cluster,Y,E,4.8,414000,,1.157,1.356213494,16834,9930,,
73,DMA 34,DMA,125.372,GWD 230,4.053,7.612,AGM 1,116.223,AGM 2,3297.052,CLS 6,0.06,15.95,8,315,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.163,1.363867069,16929,9930,,
74,DMA 35,DMA,129.488,GWD 230,8.169,3.496,AGM 1,120.339,AGM 2,3292.936,,0.06,14.418,14.553,270,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364592145,16938,9930,,
75,GWD 240,GWD,132.984,GWD 240,0,8.147,AGM 1,123.835,AGM 2,3289.44,,0,0,0,0,300,Girth Weld,Y,,4.8,414000,,0,,0,0,,
76,GWD 250,GWD,141.131,GWD 250,0,21.515,AGM 1,131.982,AGM 2,3281.293,,0,0,0,0,37.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
77,GWD 260,GWD,162.646,GWD 260,0,21.398,AGM 1,153.497,AGM 2,3259.778,,0,0,0,0,307.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
78,GWD 270,GWD,184.044,GWD 270,0,21.478,AGM 1,174.895,AGM 2,3238.38,,0,0,0,0,67.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
79,DMA 36,DMA,193.55,GWD 270,9.506,11.972,AGM 1,184.401,AGM 2,3228.874,CLS 7,0.06,11.789,11.211,322.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.365639476,16951,9930,,
80,CLS 7,CLS,193.55,GWD 270,9.506,11.972,AGM 1,184.401,AGM 2,3228.874,GRP 1,0.074,30.002,41.829,315,0,Cluster,Y,E,4.8,414000,,1.154,1.353071501,16795,9930,,
81,DMA 37,DMA,193.568,GWD 270,9.524,11.954,AGM 1,184.419,AGM 2,3228.856,CLS 7,0.074,12.306,10.739,307.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364833837,16941,9930,,
82,DMA 38,DMA,193.608,GWD 270,9.564,11.914,AGM 1,184.459,AGM 2,3228.816,GRP 1,0.06,13.462,12.521,330,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364994965,16943,9930,,
83,GRP 1,GRP,193.55,GWD 270,9.506,11.972,AGM 1,184.401,AGM 2,3228.874,,0.074,236.704,78.842,322.5,0,Group,Y,E,4.8,414000,,1.108,1.299335347,16128,9930,,
84,DMA 39,DMA,193.689,GWD 270,9.645,11.833,AGM 1,184.54,AGM 2,3228.735,,0.076,12.288,11.144,165,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364672709,16939,9930,,
85,DMA 40,DMA,193.775,GWD 270,9.731,11.747,AGM 1,184.626,AGM 2,3228.649,GRP 1,0.06,12.331,13.458,337.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365397784,16948,9930,,
86,DMA 41,DMA,195.841,GWD 270,11.797,9.681,AGM 1,186.692,AGM 2,3226.583,,0.06,11.815,42.938,322.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.365639476,16951,9930,,
87,GWD 280,GWD,205.522,GWD 280,0,21.827,AGM 1,196.373,AGM 2,3216.902,,0,0,0,0,292.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
88,GWD 290,GWD,227.349,GWD 290,0,21.694,AGM 1,218.2,AGM 2,3195.075,,0,0,0,0,90,Girth Weld,Y,,4.8,414000,,0,,0,0,,
89,DMA 42,DMA,237.623,GWD 290,10.274,11.42,AGM 1,228.474,AGM 2,3184.801,,0.06,42.632,16.441,30,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.15,1.348559919,16739,9930,,
90,GWD 300,GWD,249.043,GWD 300,0,21.655,AGM 1,239.894,AGM 2,3173.381,,0,0,0,0,60,Girth Weld,Y,,4.8,414000,,0,,0,0,,
91,GWD 310,GWD,270.698,GWD 310,0,20.892,AGM 1,261.549,AGM 2,3151.726,,0,0,0,0,112.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
92,GWD 320,GWD,291.59,GWD 320,0,16.782,AGM 1,282.441,AGM 2,3130.834,,0,0,0,0,307.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
93,GWD 330,GWD,308.372,GWD 330,0,18.833,AGM 1,299.223,AGM 2,3114.052,,0,0,0,0,75,Girth Weld,Y,,4.8,414000,,0,,0,0,,
94,GWD 340,GWD,327.205,GWD 340,0,18.813,AGM 1,318.056,AGM 2,3095.219,,0,0,0,0,345,Girth Weld,Y,,4.8,414000,,0,,0,0,,
95,GWD 350,GWD,346.018,GWD 350,0,18.822,AGM 1,336.869,AGM 2,3076.406,,0,0,0,0,75,Girth Weld,Y,,4.8,414000,,0,,0,0,,
96,DMA 43,DMA,354.342,GWD 350,8.324,10.498,AGM 1,345.193,AGM 2,3068.082,CLS 8,0.06,13.618,10.751,112.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364914401,16942,9930,,
97,CLS 8,CLS,354.342,GWD 350,8.324,10.498,AGM 1,345.193,AGM 2,3068.082,GRP 2,0.06,78.833,28.804,105,0,Cluster,Y,E,4.8,414000,,1.136,1.332608258,16541,9930,,
98,DMA 44,DMA,354.379,GWD 350,8.361,10.461,AGM 1,345.23,AGM 2,3068.045,CLS 8,0.06,14.184,14.051,105,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.364672709,16939,9930,,
99,DMA 45,DMA,354.409,GWD 350,8.391,10.431,AGM 1,345.26,AGM 2,3068.015,CLS 8,0.06,11.608,8.661,105,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.36572004,16952,9930,,
100,GRP 2,GRP,354.342,GWD 350,8.324,10.498,AGM 1,345.193,AGM 2,3068.082,,0.06,146.592,28.804,105,0,Group,Y,E,4.8,414000,,1.125,1.319073515,16373,9930,,
101,DMA 46,DMA,354.477,GWD 350,8.459,10.363,AGM 1,345.328,AGM 2,3067.947,GRP 2,0.06,11.605,8.071,112.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.36572004,16952,9930,,
102,DMA 47,DMA,354.5,GWD 350,8.482,10.34,AGM 1,345.351,AGM 2,3067.924,GRP 3,0.06,12.22,14.708,142.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365478348,16949,9930,,
103,GRP 3,GRP,354.5,GWD 350,8.482,10.34,AGM 1,345.351,AGM 2,3067.924,,0.06,160.534,16.348,142.5,0,Group,Y,E,4.8,414000,,1.124,1.3175428,16354,9930,,
104,DMA 48,DMA,354.649,GWD 350,8.631,10.191,AGM 1,345.5,AGM 2,3067.775,GRP 3,0.06,11.627,8,135,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.36572004,16952,9930,,
105,DMA 49,DMA,356.318,GWD 350,10.3,8.522,AGM 1,347.169,AGM 2,3066.106,GRP 4,0.06,11.615,8,135,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.36572004,16952,9930,,
106,GRP 4,GRP,356.318,GWD 350,10.3,8.522,AGM 1,347.169,AGM 2,3066.106,,0.06,218.512,29.403,135,0,Group,Y,E,4.8,414000,,1.12,1.313434038,16303,9930,,
107,DMA 50,DMA,356.484,GWD 350,10.466,8.356,AGM 1,347.335,AGM 2,3065.94,GRP 4,0.06,11.631,8,135,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.36572004,16952,9930,,
108,DMA 51,DMA,356.525,GWD 350,10.507,8.315,AGM 1,347.376,AGM 2,3065.899,GRP 4,0.06,11.149,8,127.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.365881168,16954,9930,,
109,GWD 360,GWD,364.84,GWD 360,0,18.823,AGM 1,355.691,AGM 2,3057.584,,0,0,0,0,330,Girth Weld,Y,,4.8,414000,,0,,0,0,,
110,DMA 52,DMA,373.067,GWD 360,8.227,10.596,AGM 1,363.918,AGM 2,3049.357,GRP 5,0.071,11.608,8.971,315,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365236657,16946,9930,,
111,DMA 53,DMA,373.13,GWD 360,8.29,10.533,AGM 1,363.981,AGM 2,3049.294,GRP 5,0.06,12.667,13.011,307.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365236657,16946,9930,,
112,GRP 5,GRP,373.067,GWD 360,8.227,10.596,AGM 1,363.918,AGM 2,3049.357,,0.171,168.142,27.768,315,0,Group,Y,E,4.8,414000,,1.039,1.21796576,15118,9930,,
113,DMA 54,DMA,373.223,GWD 360,8.383,10.44,AGM 1,364.074,AGM 2,3049.201,GRP 5,0.171,11.613,9.692,315,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.16,1.360805639,16891,9930,,
114,GWD 370,GWD,383.663,GWD 370,0,18.812,AGM 1,374.514,AGM 2,3038.761,,0,0,0,0,52.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
115,GWD 380,GWD,402.475,GWD 380,0,19.014,AGM 1,393.326,AGM 2,3019.949,,0,0,0,0,292.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
116,GWD 390,GWD,421.489,GWD 390,0,18.833,AGM 1,412.34,AGM 2,3000.935,,0,0,0,0,75,Girth Weld,Y,,4.8,414000,,0,,0,0,,
117,GWD 400,GWD,440.322,GWD 400,0,18.828,AGM 1,431.173,AGM 2,2982.102,,0,0,0,0,345,Girth Weld,Y,,4.8,414000,,0,,0,0,,
118,GWD 410,GWD,459.15,GWD 410,0,18.832,AGM 1,450.001,AGM 2,2963.274,,0,0,0,0,52.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
119,GWD 420,GWD,477.982,GWD 420,0,18.808,AGM 1,468.833,AGM 2,2944.442,,0,0,0,0,322.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
120,DMA 55,DMA,487.22,GWD 420,9.238,9.57,AGM 1,478.071,AGM 2,2935.204,,0.06,11.604,12.843,135,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.36572004,16952,9930,,
121,DMA 56,DMA,494.958,GWD 420,16.976,1.832,AGM 1,485.809,AGM 2,2927.466,,0.06,12.279,15.874,82.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365397784,16948,9930,,
122,GWD 430,GWD,496.79,GWD 430,0,18.847,AGM 1,487.641,AGM 2,2925.634,,0,0,0,0,60,Girth Weld,Y,,4.8,414000,,0,,0,0,,
123,PMA 1,PMA,504.805,GWD 430,8.015,10.832,AGM 1,495.656,AGM 2,2917.619,,0.081,12.53,12.121,82.5,0,Pipe Mill Anomaly,Y,E,4.8,414000,,1.163,1.364350453,16935,9930,,
124,DMA 57,DMA,506.513,GWD 430,9.723,9.124,AGM 1,497.364,AGM 2,2915.911,CLS 9,0.06,11.33,8.355,120,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.365800604,16953,9930,,
125,CLS 9,CLS,506.513,GWD 430,9.723,9.124,AGM 1,497.364,AGM 2,2915.911,,0.06,21.832,42.15,127.5,0,Cluster,Y,E,4.8,414000,,1.16,1.360805639,16891,9930,,
126,DMA 58,DMA,506.521,GWD 430,9.731,9.116,AGM 1,497.372,AGM 2,2915.903,CLS 9,0.06,11.612,12.936,120,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.165,1.36572004,16952,9930,,
127,DMA 59,DMA,506.519,GWD 430,9.729,9.118,AGM 1,497.37,AGM 2,2915.905,CLS 9,0.06,15.394,15.68,135,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.163,1.364108761,16932,9930,,
128,DMA 60,DMA,508.459,GWD 430,11.669,7.178,AGM 1,499.31,AGM 2,2913.965,,0.087,12.659,10.624,90,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.163,1.364028197,16931,9930,,
129,DMA 61,DMA,509.369,GWD 430,12.579,6.268,AGM 1,500.22,AGM 2,2913.055,,0.06,12.669,11.452,82.5,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.164,1.365317221,16947,9930,,
130,GWD 440,GWD,515.637,GWD 440,0,18.857,AGM 1,506.488,AGM 2,2906.787,,0,0,0,0,307.5,Girth Weld,Y,,4.8,414000,,0,,0,0,,
131,GWD 450,GWD,534.494,GWD 450,0,18.839,AGM 1,525.345,AGM 2,2887.93,,0,0,0,0,75,Girth Weld,Y,,4.8,414000,,0,,0,0,,
132,DMA 62,DMA,550.003,GWD 450,15.509,3.33,AGM 1,540.854,AGM 2,2872.421,,0.06,26.027,17.651,195,0,Detected Magnetic Anomoly,Y,E,4.8,414000,,1.158,1.358388721,16861,9930,,
